"",Date,Tweet_ID,Original_Tweet_Text,Updated_Clean_Text,Segment,New_Category
10,2021-01-08,1347688119383044096,"It'll be the biggest game we've ever hosted in the @Alamodome, &amp; we're playing to win.

The Dome will be converted to a mass, no-cost COVID-19 vaccination site.

Registration opens January 9th.

You must have an appointment to get vaccinated.

☎️311
💻https://t.co/oKj9KsnEY0 https://t.co/sUMETYtgUM","It ll be the biggest game we ve ever hosted in the Alamodome amp we re playing to win The Dome will be converted to a mass no cost COVID 19 vaccination site Registration opens January 9th You must have an appointment to get vaccinated 311 ",1,0
11,2021-01-08,1347684445919338496,Senator Cornyn receives briefing on COVID-19 vaccine rollout in Texas https://t.co/UCHCpIV0xG,"Senator Cornyn receives briefing on COVID 19 vaccine rollout in Texas ",1,0
12,2021-01-08,1347666692143538179,"🚨A partir de hoy 8 de Enero (4 p.m.), hay 256,046 casos confirmados de #COVID19 en Houston/Condado de Harris y 2,688 muertes. Un total de 216,627 pacientes se han recuperado. La tasa de positividad es 16.5%. https://t.co/XFMGcOiDyG #LáveseLasManos #SiALaMascarilla https://t.co/QsvKQGYVsN"," A partir de hoy 8 de Enero 4 p m hay 256 046 casos confirmados de COVID19 en Houston Condado de Harris y 2 688 muertes Un total de 216 627 pacientes se han recuperado La tasa de positividad es 16 5 ",1,0
13,2021-01-08,1347666688465055744,"🚨As of today Jan 8 (4pm), there are 256,046 confirmed cases of #COVID19 in Houston/Harris County and 2,688 deaths. A total of 216,627 patients have recovered. The positivity rate is 16.5%. Keep your mask on and #socialdistance. https://t.co/XFMGcOiDyG #WashYourHands  #JustAMask https://t.co/IrqCWBnr7g"," As of today Jan 8 4pm there are 256 046 confirmed cases of COVID19 in Houston Harris County and 2 688 deaths A total of 216 627 patients have recovered The positivity rate is 16 5 Keep your mask on and socialdistance ",1,0
14,2021-01-08,1347649585209085953,"¡No hay estafa aquí! Si recibe una llamada del 832-927-7575 o un mensaje de texto de 346-229-1960 , háganos un favor, ¡respóndalo! ¡Nuestros rastreadores de contactos necesitan su ayuda para identificar posibles propagaciones de virus! https://t.co/4g99qUay9w"," No hay estafa aquí Si recibe una llamada del 832 927 7575 o un mensaje de texto de 346 229 1960 háganos un favor respóndalo Nuestros rastreadores de contactos necesitan su ayuda para identificar posibles propagaciones de virus ",1,0
15,2021-01-08,1347648868335443969,"Want to help us fight #COVID19? Answer our call! If you get a call from 832-927-7575 or a text from 346-229-1960 do us a favor, answer it! Our contact tracers need your help us identify possible virus spreads! https://t.co/P6ULn9Omts","Want to help us fight COVID19 Answer our call If you get a call from 832 927 7575 or a text from 346 229 1960 do us a favor answer it Our contact tracers need your help us identify possible virus spreads ",1,2.38
16,2021-01-08,1347647838738636801,"I got my flu vaccine, will this have any negative effect on me if I get a  #COVID19 #vaccine?

Watch Dr. Sherri Onyeigo @SOnyiego  talks about the importance of the #flu and  #COVID vaccine. 

Got a question for our team? Send an email to ASKHCPH@phs.hctx.net https://t.co/VMjTYDJDwG","I got my flu vaccine will this have any negative effect on me if I get a COVID19 vaccine Watch Dr Sherri Onyeigo SOnyiego talks about the importance of the flu and COVID vaccine Got a question for our team Send an email to ASKHCPH phs hctx net ",1,0
17,2021-01-08,1347637054394523648,@drswlong @ReadyHarris @abc13houston @KHOU @FOX26Houston @KPRC2 @HoustonChron @HoustonPubMedia @TelemundoHou @univision45TV @HarrisCoJudge Here's more info from CDC: https://t.co/whlDxtXEbr," drswlong ReadyHarris abc13houston KHOU FOX26Houston KPRC2 HoustonChron HoustonPubMedia TelemundoHou univision45TV HarrisCoJudge Here s more info from CDC ",1,0
18,2021-01-08,1347627977815822337,"Amid all the tragedies brought on by this pandemic, the emergency management and health care workers in Texas continue to give me great hope. Thank you to all who are fighting COVID-19, from Dr. Hellerstedt and Chief Kidd all the way to the nurses administering the vaccines. https://t.co/Cd3kCkGkiu","Amid all the tragedies brought on by this pandemic the emergency management and health care workers in Texas continue to give me great hope Thank you to all who are fighting COVID 19 from Dr Hellerstedt and Chief Kidd all the way to the nurses administering the vaccines ",1,2.08
19,2021-01-08,1347604102763728902,"If you are experiencing symptoms of #COVID19 , be sure to visit https://t.co/SeUoNpBOVC to find your nearest testing location. It is important that we do our best to protect those we love. 

#houston #harriscounty #gettested https://t.co/l4SGPYimEu","If you are experiencing symptoms of COVID19 be sure to visit ",1,0
20,2021-01-08,1347583388937555971,"Hemos alcanzado la capacidad máxima en nuestros sitios de prueba #COVID19 en los siguientes sitios:
Catedral San Mateo
Cristo Rey Iglesia Episcopal
Hosana Luterana

Aún tiene tiempo de registrarse para hacerse la prueba hoy en nuestros otros sitios, visite https://t.co/SeUoNpBOVC https://t.co/ptoqmywWdw","Hemos alcanzado la capacidad máxima en nuestros sitios de prueba COVID19 en los siguientes sitios Catedral San Mateo Cristo Rey Iglesia Episcopal Hosana Luterana Aún tiene tiempo de registrarse para hacerse la prueba hoy en nuestros otros sitios visite ",1,0
21,2021-01-08,1347582498142904321,"We have reached capacity at the following #COVID19 testing sites:
Cathedral St. Matthew
Christ the King Episcopal
Hosana Lutheran Church

You still have time register to be tested today at our other sites, visit https://t.co/SeUoNpBOVC. We'll continue to provide updates. https://t.co/LM7CeKFNNX","We have reached capacity at the following COVID19 testing sites Cathedral St Matthew Christ the King Episcopal Hosana Lutheran Church You still have time register to be tested today at our other sites visit ",1,0
22,2021-01-08,1347575093908615172,Demuestra que te preocupas por lo que vistes…. Usar una #mascarilla ayuda a la #comunidad en nuestra lucha para #detenerElContagio. La mascarilla debe ajustarse cómodamente y cubrir tanto la nariz como la boca. Ponga de su parte para terminar con el #COVID19 de una vez por todas https://t.co/bq2LG0xYZS,"Demuestra que te preocupas por lo que vistes Usar una mascarilla ayuda a la comunidad en nuestra lucha para detenerElContagio La mascarilla debe ajustarse cómodamente y cubrir tanto la nariz como la boca Ponga de su parte para terminar con el COVID19 de una vez por todas ",1,0
23,2021-01-08,1347575090876207106,Show that you care by what you wear…. Wearing a #mask helps the community in our fight to #stopthespread. The mask should fit sung but comfortably and cover both your nose and mouth. Do you part and let’s eliminate #COVID19 for once and for all. https://t.co/aErn5d5Kev,"Show that you care by what you wear Wearing a mask helps the community in our fight to stopthespread The mask should fit sung but comfortably and cover both your nose and mouth Do you part and let s eliminate COVID19 for once and for all ",1,2.17
24,2021-01-08,1347560760868745218,"Millones de personas están haciendo su parte y haciéndose pruebas. Si cree que ha estado expuesto al #COVID19, haga su parte y hágase una prueba lo antes posible. ¡Ofrecemos pruebas #GRATUITAS para todos! Regístrese aquí: https://t.co/3K5xpraslJ o llame al 832927 7575. https://t.co/ckzvB5pcT2","Millones de personas están haciendo su parte y haciéndose pruebas Si cree que ha estado expuesto al COVID19 haga su parte y hágase una prueba lo antes posible Ofrecemos pruebas GRATUITAS para todos Regístrese aquí ",1,0
25,2021-01-08,1347560755378483201,"Millions of people are doing their part and getting tested. If you think you have been exposed to the virus, do your part and get a test as soon as you can. We offer #FREE Testing to all! Register here for a location closest to you: https://t.co/3K5xpraslJ or call 832 927 7575. https://t.co/h4el1eUuzk","Millions of people are doing their part and getting tested If you think you have been exposed to the virus do your part and get a test as soon as you can We offer FREE Testing to all Register here for a location closest to you ",1,0
26,2021-01-07,1347318266742665218,Sabía que 1 en 4 personas que han resultado positive de #COVID19 no tienen síntomas y son conocidos como #Asintomático. Estas personas pueden pasar el virus a otros sin saberlo y tener graves enfermedades. Sea proavtivo y hágase la prueba. Viste: https://t.co/PmSi4fhye1 https://t.co/F8tdfbp28E,"Sabía que 1 en 4 personas que han resultado positive de COVID19 no tienen síntomas y son conocidos como Asintomático Estas personas pueden pasar el virus a otros sin saberlo y tener graves enfermedades Sea proavtivo y hágase la prueba Viste ",1,0
27,2021-01-07,1347317768358682624,"#DidYouKnow? 1 in 4 people who tested positive for #COVID19 have no symptoms &amp; are known as #asymptomatic. Individuals can unknowingly pass on the #virus to others &amp; possibly lead to severe illness. Be proactive &amp; get tested to #stopthespread. Go to: https://t.co/PmSi4fhye1 https://t.co/6Z0lgFbQ9T"," DidYouKnow 1 in 4 people who tested positive for COVID19 have no symptoms amp are known as asymptomatic Individuals can unknowingly pass on the virus to others amp possibly lead to severe illness Be proactive amp get tested to stopthespread Go to ",1,0
28,2021-01-07,1347304364646551552,"🚨A partir de hoy 7 de Enero (4 p.m.), hay 253,612 casos confirmados de #COVID19 en Houston/Condado de Harris y 2,680 muertes. Un total de 215,265 pacientes se han recuperado. La tasa de positividad es 16%. https://t.co/XFMGcOiDyG #LáveseLasManos #SiALaMascarilla https://t.co/F9m2MMBvYO"," A partir de hoy 7 de Enero 4 p m hay 253 612 casos confirmados de COVID19 en Houston Condado de Harris y 2 680 muertes Un total de 215 265 pacientes se han recuperado La tasa de positividad es 16 ",1,0
29,2021-01-07,1347304361282727936,"🚨As of today Jan 7 (4pm), there are 253,612 confirmed cases of #COVID19 in Houston/Harris County and 2,680 deaths. A total of 215,265 patients have recovered. The positivity rate is 16%. Keep your mask on and #socialdistance. https://t.co/XFMGcOiDyG #WashYourHands  #JustAMask https://t.co/W2ze9CNBIr"," As of today Jan 7 4pm there are 253 612 confirmed cases of COVID19 in Houston Harris County and 2 680 deaths A total of 215 265 patients have recovered The positivity rate is 16 Keep your mask on and socialdistance ",1,0
30,2021-01-07,1347294002136174594,Mientras esperamos que la vacuna #COVID19 esté disponible para todos. Es importante mantenerse actualizado con información precisa y creíble. Seguiremos proporcionando actualizaciones y recursos aquí: https://t.co/6HoCBXNCbF\covidvaccine https://t.co/FHl6KVEiIC,"Mientras esperamos que la vacuna COVID19 esté disponible para todos Es importante mantenerse actualizado con información precisa y creíble Seguiremos proporcionando actualizaciones y recursos aquí ",1,0
31,2021-01-07,1347289211481829379,As we wait for the #COVID19 #vaccine to be available for all. It’s important to stay updated with accurate credible information. We will continue to provide updates and resources here: https://t.co/6HoCBXNCbF\covidvaccine https://t.co/HrwFgBPcGc,"As we wait for the COVID19 vaccine to be available for all It s important to stay updated with accurate credible information We will continue to provide updates and resources here ",1,3.23
32,2021-01-07,1347275455615873026,"Con la inquietud de las noticias de ayer, el estrés del 2020, más la #pandemia de #COVID19 en curso, ¡a todos nos vendría bien un #descansoMental! Ahora es el momento perfecto para concentrarse en su #saludMental. Aquí hay algunos recursos: https://t.co/5ZXduf0Q8b https://t.co/WBnZpZH6d6","Con la inquietud de las noticias de ayer el estrés del 2020 más la pandemia de COVID19 en curso a todos nos vendría bien un descansoMental Ahora es el momento perfecto para concentrarse en su saludMental Aquí hay algunos recursos ",1,0
33,2021-01-07,1347275117110456323,"With the uneasiness from yesterday’s news, leftover stress from 2020 , plus the ongoing #COVID19 #pandemic, we could all use a #mentalbreak! Now is the perfect time to focus on your #mentalhealth. Here are a few resources to get you started: https://t.co/5ZXduf0Q8b https://t.co/tY7yW0Br76","With the uneasiness from yesterday s news leftover stress from 2020 plus the ongoing COVID19 pandemic we could all use a mentalbreak Now is the perfect time to focus on your mentalhealth Here are a few resources to get you started ",1,2.44
34,2021-01-07,1347272179193417731,Link to the release: https://t.co/yv2NrDzeiL,"Link to the release ",1,0
35,2021-01-07,1347272066798669824,@TheCravenOne @ReadyHarris @abc13houston @KHOU @FOX26Houston @KPRC2 @HoustonChron @HoustonPubMedia @TelemundoHou @univision45TV @HarrisCoJudge Here you go: https://t.co/yv2NrDzeiL," TheCravenOne ReadyHarris abc13houston KHOU FOX26Houston KPRC2 HoustonChron HoustonPubMedia TelemundoHou univision45TV HarrisCoJudge Here you go ",1,0
36,2021-01-07,1347261965371121665,"Lo hemos dicho antes y lo diremos de nuevo ... ¡Lávese las manos! Este simple acto puede eliminar los gérmenes y virus dañinos. Por lo tanto, recuerde lavarse las manos con frecuencia o usar desinfectante para manos cuando no haya agua y jabón disponibles. https://t.co/EMCy3Tobrx","Lo hemos dicho antes y lo diremos de nuevo Lávese las manos Este simple acto puede eliminar los gérmenes y virus dañinos Por lo tanto recuerde lavarse las manos con frecuencia o usar desinfectante para manos cuando no haya agua y jabón disponibles ",1,0
37,2021-01-07,1347261385617649667,"A friendly reminder! #WashyourHands! This simple act can eliminate harmful germs and viruses, like the #flu and #COVID19. So, remember to wash your hands frequently for at least 20 seconds or use hand sanitizer when soap and water are not available. https://t.co/kFnLjypfXR","A friendly reminder WashyourHands This simple act can eliminate harmful germs and viruses like the flu and COVID19 So remember to wash your hands frequently for at least 20 seconds or use hand sanitizer when soap and water are not available ",1,0
38,2021-01-07,1347239402439909382,"Correction on the COVID-19 data: "" We’re at 16% positivity rate with nearly 251,000 confirmed cases."" https://t.co/rgkmiwsb3K","Correction on the COVID 19 data We re at 16 positivity rate with nearly 251 000 confirmed cases ",1,0
39,2021-01-07,1347236492784099334,"🚨Today, Harris County Public Health (HCPH) confirmed the first case of the #COVID19 variant B.1.1.7, the same variant discovered in the UK. This the first known case in Harris County and the State of Texas. 
Full release below: https://t.co/Inoqu5fK5k"," Today Harris County Public Health HCPH confirmed the first case of the COVID19 variant B 1 1 7 the same variant discovered in the UK This the first known case in Harris County and the State of Texas Full release below ",1,0
40,2021-01-07,1347213791474409472,Este año nuevo recuerde usar su #mascarilla y usarla correctamente. Recuerde que debe cubrir su nariz y su boca al mismo tiempo para que pueda ser más efectiva y ayudar a #DetenerElContagio de #COVID19. #SiALaMascarilla https://t.co/VDwcJX429T,"Este año nuevo recuerde usar su mascarilla y usarla correctamente Recuerde que debe cubrir su nariz y su boca al mismo tiempo para que pueda ser más efectiva y ayudar a DetenerElContagio de COVID19 SiALaMascarilla ",1,0
41,2021-01-07,1347213787762343940,"This new year, remember to Stay Golden, wear your #mask and wear it correctly. Make sure to cover your mouth, and nose at the same time to help #StopTheSpread of #COVID19. Remember #ItsJustAMask https://t.co/DjyoxgYA7M","This new year remember to Stay Golden wear your mask and wear it correctly Make sure to cover your mouth and nose at the same time to help StopTheSpread of COVID19 Remember ItsJustAMask ",1,0
42,2021-01-07,1347196219639083010,"¡Espera corta, resultados rápidos y es GRATIS! Nuestros sitios de prueba en #HarrisCounty brindan pruebas #COVID19 a la comunidad. Regístrese en el sitio más cercano a usted aquí: https://t.co/SeUoNpBOVC o llame al 832 927 7575. https://t.co/CPYHzFUYKh"," Espera corta resultados rápidos y es GRATIS Nuestros sitios de prueba en HarrisCounty brindan pruebas COVID19 a la comunidad Regístrese en el sitio más cercano a usted aquí ",1,0
43,2021-01-07,1347196214459199488,"Short wait, fast results and it’s FREE! Our test sites throughout #HarrisCounty  providing #COVID19 testing to the community. Sign up for the site nearest to you here: https://t.co/SeUoNpBOVC or call 832 927 7575. https://t.co/7xvyOiHs8x","Short wait fast results and it s FREE Our test sites throughout HarrisCounty providing COVID19 testing to the community Sign up for the site nearest to you here ",1,0
44,2021-01-07,1347180431893008391,Covid-19 immunity likely lasts for years https://t.co/A5Zw5Ce805,"Covid 19 immunity likely lasts for years ",1,0
45,2021-01-06,1346961886835843075,"Today patrons visiting different bakeries in #HarrisCounty came for #roscas but left with #COVID-19 kits filled with #Handsanitizer, #masks and prevention information. #Outreach #publichealthmatters https://t.co/xgjadpBbrX","Today patrons visiting different bakeries in HarrisCounty came for roscas but left with COVID 19 kits filled with Handsanitizer masks and prevention information Outreach publichealthmatters ",1,0
46,2021-01-06,1346941866080686081,"🚨A partir de hoy 6 de Enero (4 p.m.), hay 250,854 casos confirmados de #COVID19 en Houston/Condado de Harris y 2,667 muertes. Un total de 213,852 pacientes se han recuperado. La tasa de positividad es 15.5%. https://t.co/XFMGcOiDyG #LáveseLasManos #SiALaMascarilla https://t.co/pVdqkzCedM"," A partir de hoy 6 de Enero 4 p m hay 250 854 casos confirmados de COVID19 en Houston Condado de Harris y 2 667 muertes Un total de 213 852 pacientes se han recuperado La tasa de positividad es 15 5 ",1,0
47,2021-01-06,1346941285597380613,"🚨As of today Jan 6 (4pm), there are 250,854 confirmed cases of #COVID19 in Houston/Harris County and 2,667 deaths. A total of 213,852 patients have recovered. The positivity rate is 15.5%. Keep your mask on and #socialdistance. https://t.co/XFMGcOiDyG #WashYourHands  #JustAMask https://t.co/HkDCOKU9Xf"," As of today Jan 6 4pm there are 250 854 confirmed cases of COVID19 in Houston Harris County and 2 667 deaths A total of 213 852 patients have recovered The positivity rate is 15 5 Keep your mask on and socialdistance ",1,0
48,2021-01-06,1346925029129216003,"Stopping a #pandemic is going to take all our tools: #handwashing, #masks, #SocialDistancing and #vaccines. Taken together, these tools offer the best chance of getting our communities, schools, and health systems back to normal sooner. https://t.co/w0YnnxVQvl","Stopping a pandemic is going to take all our tools handwashing masks SocialDistancing and vaccines Taken together these tools offer the best chance of getting our communities schools and health systems back to normal sooner ",1,0
49,2021-01-06,1346888238456328195,"What do everyone in our #Community #OutreachTeam have in common? They all know #PublicHealthMatters and are committed to helping #HarrisCounty defeat #COVID19 by distributing care kits containing #Masks, #HandSanitizers and #COVID19Facts! Go Team! https://t.co/0NDB0gkGhY","What do everyone in our Community OutreachTeam have in common They all know PublicHealthMatters and are committed to helping HarrisCounty defeat COVID19 by distributing care kits containing Masks HandSanitizers and COVID19Facts Go Team ",1,0
50,2021-01-06,1346879289250222081,"Visit https://t.co/SeUoNpBOVC to find your nearest testing location in your area. Let’s do our part in keeping Harris County strong together 💪. 

#COVID19 #harriscounty #houston https://t.co/X7ybxdEPZH","Visit ",1,0
51,2021-01-06,1346868944397881345,"¡Hoy es el #DiaDeReyesMagos y tradicionalmente se celebra reuniéndose con la familia y comiendo rosca! Este año, el #COVID19 ha cambiado la manera de celebrar. Le recomendamos celebre solo con las personas que viven en su casa. ¡O hágalo virtual! Juntos venceremos esta #pandemia https://t.co/qvQIhPo5Nt"," Hoy es el DiaDeReyesMagos y tradicionalmente se celebra reuniéndose con la familia y comiendo rosca Este año el COVID19 ha cambiado la manera de celebrar Le recomendamos celebre solo con las personas que viven en su casa O hágalo virtual Juntos venceremos esta pandemia ",1,0
52,2021-01-06,1346864303702478849,"#ThreeKingsDay is traditionally celebrated by gathering with family and eating cake! However, having #COVID19 around, please only celebrate with people who live your house. Limit any gatherings. Or, just go virtual instead! We still have work ahead fighting this #pandemic. https://t.co/dg6sHGXkwE"," ThreeKingsDay is traditionally celebrated by gathering with family and eating cake However having COVID19 around please only celebrate with people who live your house Limit any gatherings Or just go virtual instead We still have work ahead fighting this pandemic ",1,2.5
53,2021-01-06,1346851073315786754,"Use una #Mascarilla para sus hijos. Use una para sus abuelos. Use una para sus vecinos. Nuestras acciones son personales, pero todos compartimos el riesgo de infección #COVID19. Ponte una mascarilla para protegerte y proteger a los que te rodean. #SiALaMascarilla https://t.co/6wk3VIdLcT","Use una Mascarilla para sus hijos Use una para sus abuelos Use una para sus vecinos Nuestras acciones son personales pero todos compartimos el riesgo de infección COVID19 Ponte una mascarilla para protegerte y proteger a los que te rodean SiALaMascarilla ",1,0
54,2021-01-06,1346851069008224258,"Wear a mask for your children. Wear a mask for your grandparents. Wear a mask for your neighbors. Our actions are personal, but we all share the risk to #COVID19 infection. Put a mask on to protect yourself and those around you. It’s just a mask. #JustAMask https://t.co/wfhDFSaEpq","Wear a mask for your children Wear a mask for your grandparents Wear a mask for your neighbors Our actions are personal but we all share the risk to COVID19 infection Put a mask on to protect yourself and those around you It s just a mask JustAMask ",1,0
55,2021-01-06,1346835731768074240,Practique algunos cuidados personales y hágase la prueba de #COVID19. Ofrecemos pruebas en varias ubicaciones en #HarrisCounty. ¿Necesitas una prueba con resultados rápidos? Visite: https://t.co/XD06fhTRzf o llame al 832-927-7575 para hacer su cita https://t.co/oVBhV0qVFm,"Practique algunos cuidados personales y hágase la prueba de COVID19 Ofrecemos pruebas en varias ubicaciones en HarrisCounty Necesitas una prueba con resultados rápidos Visite ",1,0
56,2021-01-06,1346835726051270657,Practice some self-care and get tested for #COVID19. We offer testing at multiple locations throughout #HarrisCounty. Need a test with fast results? Visit: https://t.co/XD06fhTRzf or call 832-927-7575. https://t.co/btQE8zCQ1f,"Practice some self care and get tested for COVID19 We offer testing at multiple locations throughout HarrisCounty Need a test with fast results Visit ",1,0
57,2021-01-06,1346798826326261762,The delay comes as Beijing faces criticism for stonewalling efforts to trace the virus’s origins. WHO experts were kept out of Wuhan in 2020 and an independent probe was rebuffed.,"The delay comes as Beijing faces criticism for stonewalling efforts to trace the virus s origins WHO experts were kept out of Wuhan in 2020 and an independent probe was rebuffed ",1,0
58,2021-01-06,1346798825546133510,"WHO Team Can’t Get in China: The WHO team investigating the origins of the Covid-19 virus has been temporarily prevented from entering China because of visa issues, according to Director-General Tedros Adhanom Ghebreyesus. @BGOV",WHO Team Can t Get in China The WHO team investigating the origins of the Covid 19 virus has been temporarily prevented from entering China because of visa issues according to Director General Tedros Adhanom Ghebreyesus BGOV,1,0
59,2021-01-06,1346618436806443009,"Most folks out there are doing everything right. 

It shouldn't take soaring numbers &amp; critical conditions in our hospitals to drive the point home, but if you've ever been skeptical about the impact this virus has on people's lives — maybe today will serve as a wakeup call.

1/2 https://t.co/U65OIWSThh","Most folks out there are doing everything right It shouldn t take soaring numbers amp critical conditions in our hospitals to drive the point home but if you ve ever been skeptical about the impact this virus has on people s lives maybe today will serve as a wakeup call 1 2 ",1,0
60,2021-01-05,1346593215110127626,"Our #OutreachTeam wanted to start the year off right by helping our #community get their #COVID19 care kits! They were at La Michoacana on Barker Cypress Road in Houston,Tx today making sure everyone got a #mask, #handSanitizer and #COVID19Facts! Way to go team! https://t.co/E24Mm50d5v","Our OutreachTeam wanted to start the year off right by helping our community get their COVID19 care kits They were at La Michoacana on Barker Cypress Road in Houston Tx today making sure everyone got a mask handSanitizer and COVID19Facts Way to go team ",1,0
61,2021-01-05,1346584584474013696,"A partir de hoy 5 de Enero (4 p.m.), hay 249,488 casos confirmados de #COVID19 en Houston/Condado de Harris y 2,666 muertes. Un total de 210,374 pacientes se han recuperado. La tasa de positividad es 15.5%. https://t.co/XFMGcOiDyG #LáveseLasManos #SiALaMascarilla https://t.co/2tGCWew7tN","A partir de hoy 5 de Enero 4 p m hay 249 488 casos confirmados de COVID19 en Houston Condado de Harris y 2 666 muertes Un total de 210 374 pacientes se han recuperado La tasa de positividad es 15 5 ",1,0
62,2021-01-05,1346584579809927170,"As of today Jan 5 (4pm), there are 249,488 confirmed cases of #COVID19 in Houston/Harris County and 2,666 deaths. A total of 210,374 patients have recovered. The positivity rate is 15.5%. Keep your mask on and #socialdistance. https://t.co/XFMGcOiDyG #WashYourHands  #JustAMask https://t.co/F8rnQyc4q6","As of today Jan 5 4pm there are 249 488 confirmed cases of COVID19 in Houston Harris County and 2 666 deaths A total of 210 374 patients have recovered The positivity rate is 15 5 Keep your mask on and socialdistance ",1,0
63,2021-01-05,1346563687654563846,"Reuniones pueden provocar la propagación no solo de #COVID, sino también de la #gripe. Vacunarse contra la #influenza es una parte esencial para proteger su salud y la de su familia esta temporada. Visite https://t.co/jBrVSyk1Zk para el centro mas cercano a usted https://t.co/lD9gecKfus","Reuniones pueden provocar la propagación no solo de COVID sino también de la gripe Vacunarse contra la influenza es una parte esencial para proteger su salud y la de su familia esta temporada Visite ",1,0
64,2021-01-05,1346563522554163200,Gatherings can lead to the spread of not only #COVID19  but the #flu too. Getting a flu #vaccine is an essential part of protecting you and your family’s health. Flu vaccines are useful any time during the flu season &amp; are readily available. Get yours now: https://t.co/jBrVSyk1Zk https://t.co/DlKJgLrGH9,"Gatherings can lead to the spread of not only COVID19 but the flu too Getting a flu vaccine is an essential part of protecting you and your family s health Flu vaccines are useful any time during the flu season amp are readily available Get yours now ",1,0
65,2021-01-05,1346547080144285699,"As many children return to school  this week , it's important to remind your kids  how to stay safe by teaching and reinforcing everyday preventive actions such as  #handwashing , wearing a #mask and #socialdistancing to keep them #COVID19 Free. https://t.co/R63kqZHsM8","As many children return to school this week it s important to remind your kids how to stay safe by teaching and reinforcing everyday preventive actions such as handwashing wearing a mask and socialdistancing to keep them COVID19 Free ",1,0
